Date,HIGH_T,LOW_T,PRECIP,BB_COUNT,MONTH,DAY_OF_WEEK,DAY
2017-04-01,46.0,37.0,0.0,606,4,5,1
2017-04-02,62.1,41.0,0.0,2021,4,6,2
2017-04-03,63.0,50.0,0.03,2470,4,0,3
2017-04-04,51.1,46.0,1.18,723,4,1,4
2017-04-05,63.0,46.0,0.0,2807,4,2,5
2017-04-06,48.9,41.0,0.73,461,4,3,6
2017-04-07,48.0,43.0,0.01,1222,4,4,7
2017-04-10,73.9,55.0,0.0,3324,4,0,10
2017-04-11,80.1,62.1,0.0,3887,4,1,11
2017-04-12,73.9,57.9,0.02,2565,4,2,12
2017-04-13,64.0,48.9,0.0,3353,4,3,13
2017-04-14,64.9,48.9,0.0,2942,4,4,14
2017-04-18,66.0,50.0,0.0,3415,4,1,18
2017-04-19,52.0,45.0,0.01,1965,4,2,19
2017-04-20,64.9,50.0,0.17,1567,4,3,20
2017-04-21,53.1,48.0,0.29,1426,4,4,21
2017-04-22,55.9,52.0,0.11,1318,4,5,22
2017-04-23,64.9,46.9,0.0,2520,4,6,23
2017-04-24,60.1,50.0,0.01,2544,4,0,24
2017-04-25,54.0,50.0,0.91,611,4,1,25
2017-04-26,59.0,54.0,0.34,1247,4,2,26
2017-04-27,68.0,59.0,0.0,2959,4,3,27
2017-04-28,82.9,57.9,0.0,3679,4,4,28
2017-04-30,64.0,54.0,0.0,2225,4,6,30
2017-05-01,72.0,50.0,0.0,3084,5,0,1
2017-05-02,73.9,66.9,0.0,3423,5,1,2
2017-05-04,63.0,50.0,0.0,3019,5,3,4
2017-05-05,59.0,52.0,3.02,513,5,4,5
2017-05-06,64.9,57.0,0.18,1892,5,5,6
2017-05-07,54.0,48.9,0.01,3539,5,6,7
2017-05-08,57.0,45.0,0.0,2886,5,0,8
2017-05-10,70.0,51.1,0.0,2810,5,2,10
2017-05-11,61.0,51.8,0.0,2657,5,3,11
2017-05-12,62.1,51.1,0.0,2640,5,4,12
2017-05-13,51.1,45.0,1.31,151,5,5,13
2017-05-15,66.9,55.9,0.0,2685,5,0,15
2017-05-16,78.1,57.9,0.0,3666,5,1,16
2017-05-17,90.0,66.0,0.0,3535,5,2,17
2017-05-18,91.9,75.0,0.0,3190,5,3,18
2017-05-20,64.0,55.9,0.01,2161,5,5,20
2017-05-21,66.9,55.0,0.0,2612,5,6,21
2017-05-22,61.0,54.0,0.59,768,5,0,22
2017-05-23,68.0,57.9,0.0,3174,5,1,23
2017-05-24,66.9,57.0,0.04,2969,5,2,24
2017-05-25,57.9,55.9,0.58,488,5,3,25
2017-05-26,73.0,55.9,0.1,2590,5,4,26
2017-05-27,71.1,61.0,0.0,2609,5,5,27
2017-05-28,71.1,59.0,0.0,2640,5,6,28
2017-05-30,59.0,55.9,0.06,2301,5,1,30
2017-05-31,75.0,57.9,0.03,2689,5,2,31
2017-06-01,78.1,62.1,0.0,3468,6,3,1
2017-06-02,73.9,60.1,0.01,3271,6,4,2
2017-06-03,72.0,55.0,0.01,2589,6,5,3
2017-06-04,68.0,60.1,0.09,1805,6,6,4
2017-06-05,66.9,60.1,0.02,2171,6,0,5
2017-06-07,66.9,54.0,0.0,3211,6,2,7
2017-06-08,68.0,59.0,0.0,3253,6,3,8
2017-06-09,80.1,59.0,0.0,3401,6,4,9
2017-06-10,84.0,68.0,0.0,3066,6,5,10
2017-06-11,90.0,73.0,0.0,2465,6,6,11
2017-06-12,91.9,77.0,0.0,2854,6,0,12
2017-06-13,93.9,78.1,0.01,2882,6,1,13
2017-06-14,84.0,69.1,0.29,2596,6,2,14
2017-06-17,73.0,66.9,1.39,1399,6,5,17
2017-06-18,84.0,72.0,0.01,2199,6,6,18
2017-06-19,87.1,70.0,1.35,1648,6,0,19
2017-06-20,82.0,72.0,0.03,3407,6,1,20
2017-06-21,82.0,72.0,0.0,3304,6,2,21
2017-06-22,82.0,70.0,0.0,3368,6,3,22
2017-06-23,82.9,75.9,0.04,2283,6,4,23
2017-06-24,82.9,71.1,1.29,2307,6,5,24
2017-06-25,82.0,69.1,0.0,2625,6,6,25
2017-06-26,78.1,66.0,0.0,3386,6,0,26
2017-06-27,75.9,61.0,0.18,3182,6,1,27
2017-06-28,78.1,62.1,0.0,3766,6,2,28
2017-06-30,88.0,73.9,0.01,2687,6,4,30
2017-07-02,87.1,73.0,0.0,2467,7,6,2
2017-07-03,87.1,71.1,0.45,2714,7,0,3
